PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2017,40,1.27018,1.27892,3841,2492,X,4558,1073,873,12837,2219,1003736
National,X,2017,41,1.30844,1.33068,4117,2687,X,4460,1077,950,13291,2246,998809
National,X,2017,42,1.34526,1.40893,4411,2821,X,5006,1143,976,14357,2266,1019002
National,X,2017,43,1.52233,1.57206,5008,2925,X,5532,1326,1054,15845,2264,1007914
National,X,2017,44,1.75088,1.70189,5217,3302,X,6133,1367,1062,17081,2221,1003649
National,X,2017,45,1.89129,1.85744,6100,3589,X,6648,1519,1116,18972,2280,1021407
National,X,2017,46,2.06068,2.06245,6856,4221,X,7549,1791,1367,21784,2291,1056219
National,X,2017,47,2.28711,2.32335,6915,3816,X,5863,1694,1427,19715,2266,848560
National,X,2017,48,2.28614,2.24046,6992,5231,X,7431,2209,1829,23692,2269,1057462
National,X,2017,49,2.59117,2.48184,7199,5018,X,8432,2319,1844,24812,2261,999742
National,X,2017,50,3.37325,3.19697,8276,6661,X,11237,2954,2325,31453,2254,983839
National,X,2017,51,4.76279,4.4214,10396,9801,X,14058,4567,3709,42531,2192,961935
National,X,2017,52,5.71645,5.43315,11296,11443,X,11467,5715,5044,44965,2113,827605
National,X,2018,1,5.77175,5.35893,9388,13374,X,11683,6867,5875,47187,2219,880531
National,X,2018,2,5.95203,5.53656,10034,15390,X,17311,7781,6091,56607,2232,1022421
National,X,2018,3,6.53175,6.33798,11919,16006,X,21671,7586,5568,62750,2265,990063
National,X,2018,4,7.18218,7.03164,13274,18300,X,30281,8899,6066,76820,2255,1092491
National,X,2018,5,7.49479,7.79156,14615,18891,X,36516,8783,5913,84718,2220,1087305
National,X,2018,6,7.37782,7.80781,14974,19283,X,37802,8517,5822,86398,2230,1106559
National,X,2018,7,6.40214,6.82753,13070,16952,X,31213,7941,5380,74556,2139,1091991
National,X,2018,8,4.94958,5.20515,9848,12188,X,19610,5668,4089,51403,2143,987541
National,X,2018,9,3.73941,3.62476,6706,8008,X,11921,3825,2723,33183,1897,915453
