REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2017,40,X,1.75721,X,X,X,X,X,X,698,85,39722
States,Alaska,2017,40,X,2.71874,X,X,X,X,X,X,142,17,5223
States,Arizona,2017,40,X,2.3554,X,X,X,X,X,X,406,42,17237
States,Arkansas,2017,40,X,0.812294,X,X,X,X,X,X,37,17,4555
States,California,2017,40,X,1.76402,X,X,X,X,X,X,842,101,47732
States,Colorado,2017,40,X,0.561578,X,X,X,X,X,X,129,42,22971
States,Connecticut,2017,40,X,1.11291,X,X,X,X,X,X,48,15,4313
States,Delaware,2017,40,X,0.0717875,X,X,X,X,X,X,2,13,2786
States,District of Columbia,2017,40,X,1.91672,X,X,X,X,X,X,284,5,14817
States,Florida,2017,40,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2017,40,X,1.83233,X,X,X,X,X,X,850,48,46389
States,Hawaii,2017,40,X,1.70244,X,X,X,X,X,X,23,15,1351
States,Idaho,2017,40,X,0.165289,X,X,X,X,X,X,2,5,1210
States,Illinois,2017,40,X,1.17179,X,X,X,X,X,X,571,80,48729
States,Indiana,2017,40,X,1.35701,X,X,X,X,X,X,68,24,5011
States,Iowa,2017,40,X,0.367309,X,X,X,X,X,X,12,13,3267
States,Kansas,2017,40,X,0.900286,X,X,X,X,X,X,66,30,7331
States,Kentucky,2017,40,X,0.727819,X,X,X,X,X,X,63,24,8656
States,Louisiana,2017,40,X,2.34284,X,X,X,X,X,X,1244,93,53098
States,Maine,2017,40,X,0.294985,X,X,X,X,X,X,9,20,3051
States,Maryland,2017,40,X,0.768398,X,X,X,X,X,X,71,40,9240
States,Massachusetts,2017,40,X,0.68067,X,X,X,X,X,X,186,46,27326
States,Michigan,2017,40,X,1.05789,X,X,X,X,X,X,288,80,27224
States,Minnesota,2017,40,X,1.42651,X,X,X,X,X,X,99,22,6940
States,Mississippi,2017,40,X,2.42836,X,X,X,X,X,X,450,46,18531
States,Missouri,2017,40,X,0.445236,X,X,X,X,X,X,20,18,4492
States,Montana,2017,40,X,0.165792,X,X,X,X,X,X,6,7,3619
States,Nebraska,2017,40,X,1.28434,X,X,X,X,X,X,108,48,8409
States,Nevada,2017,40,X,0.673618,X,X,X,X,X,X,115,33,17072
States,New Hampshire,2017,40,X,0.679222,X,X,X,X,X,X,22,17,3239
States,New Jersey,2017,40,X,1.8328,X,X,X,X,X,X,481,41,26244
States,New Mexico,2017,40,X,0.7969,X,X,X,X,X,X,146,41,18321
States,New York,2017,40,X,1.19834,X,X,X,X,X,X,147,52,12267
States,North Carolina,2017,40,X,1.11452,X,X,X,X,X,X,149,44,13369
States,North Dakota,2017,40,X,0.0759878,X,X,X,X,X,X,1,7,1316
States,Ohio,2017,40,X,0.500781,X,X,X,X,X,X,93,57,18571
States,Oklahoma,2017,40,X,1.15584,X,X,X,X,X,X,87,22,7527
States,Oregon,2017,40,X,0.844804,X,X,X,X,X,X,286,74,33854
States,Pennsylvania,2017,40,X,0.788153,X,X,X,X,X,X,611,146,77523
States,Rhode Island,2017,40,X,0.391572,X,X,X,X,X,X,21,22,5363
States,South Carolina,2017,40,X,1.87995,X,X,X,X,X,X,140,15,7447
States,South Dakota,2017,40,X,1.32771,X,X,X,X,X,X,126,31,9490
States,Tennessee,2017,40,X,0.485437,X,X,X,X,X,X,46,50,9476
States,Texas,2017,40,X,2.15321,X,X,X,X,X,X,642,111,29816
States,Utah,2017,40,X,0.144053,X,X,X,X,X,X,37,47,25685
States,Vermont,2017,40,X,0.818867,X,X,X,X,X,X,50,17,6106
States,Virginia,2017,40,X,1.26377,X,X,X,X,X,X,1097,126,86804
States,Washington,2017,40,X,0.196496,X,X,X,X,X,X,12,48,6107
States,West Virginia,2017,40,X,0.945554,X,X,X,X,X,X,124,32,13114
States,Wisconsin,2017,40,X,1.9377,X,X,X,X,X,X,130,24,6709
States,Wyoming,2017,40,X,1.16858,X,X,X,X,X,X,54,22,4621
States,Puerto Rico,2017,40,X,2.39521,X,X,X,X,X,X,48,4,2004
States,Virgin Islands,2017,40,X,0.516129,X,X,X,X,X,X,4,2,775
States,New York City,2017,40,X,1.31333,X,X,X,X,X,X,1337,78,101802
States,Alabama,2017,41,X,1.83081,X,X,X,X,X,X,738,86,40310
States,Alaska,2017,41,X,2.74487,X,X,X,X,X,X,139,17,5064
States,Arizona,2017,41,X,2.12645,X,X,X,X,X,X,373,43,17541
States,Arkansas,2017,41,X,1.09866,X,X,X,X,X,X,51,16,4642
States,California,2017,41,X,1.5591,X,X,X,X,X,X,731,105,46886
States,Colorado,2017,41,X,0.61809,X,X,X,X,X,X,142,42,22974
States,Connecticut,2017,41,X,1.03388,X,X,X,X,X,X,47,17,4546
States,Delaware,2017,41,X,0.0703235,X,X,X,X,X,X,2,13,2844
States,District of Columbia,2017,41,X,1.96893,X,X,X,X,X,X,275,5,13967
States,Florida,2017,41,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2017,41,X,2.01788,X,X,X,X,X,X,982,50,48665
States,Hawaii,2017,41,X,1.2012,X,X,X,X,X,X,16,15,1332
States,Idaho,2017,41,X,0.441176,X,X,X,X,X,X,6,6,1360
States,Illinois,2017,41,X,1.2575,X,X,X,X,X,X,583,79,46362
States,Indiana,2017,41,X,1.3458,X,X,X,X,X,X,59,24,4384
States,Iowa,2017,41,X,0.40037,X,X,X,X,X,X,13,13,3247
States,Kansas,2017,41,X,1.04632,X,X,X,X,X,X,75,31,7168
States,Kentucky,2017,41,X,0.995265,X,X,X,X,X,X,103,30,10349
States,Louisiana,2017,41,X,2.35066,X,X,X,X,X,X,1286,94,54708
States,Maine,2017,41,X,0.588078,X,X,X,X,X,X,22,24,3741
States,Maryland,2017,41,X,0.945495,X,X,X,X,X,X,85,39,8990
States,Massachusetts,2017,41,X,0.891701,X,X,X,X,X,X,296,43,33195
States,Michigan,2017,41,X,1.19456,X,X,X,X,X,X,310,81,25951
States,Minnesota,2017,41,X,1.43321,X,X,X,X,X,X,106,24,7396
States,Mississippi,2017,41,X,2.23881,X,X,X,X,X,X,318,42,14204
States,Missouri,2017,41,X,0.523918,X,X,X,X,X,X,23,20,4390
States,Montana,2017,41,X,0.0620732,X,X,X,X,X,X,2,8,3222
States,Nebraska,2017,41,X,1.32443,X,X,X,X,X,X,119,48,8985
States,Nevada,2017,41,X,0.651595,X,X,X,X,X,X,115,34,17649
States,New Hampshire,2017,41,X,0.387919,X,X,X,X,X,X,14,18,3609
States,New Jersey,2017,41,X,1.8675,X,X,X,X,X,X,464,40,24846
States,New Mexico,2017,41,X,0.729223,X,X,X,X,X,X,121,38,16593
States,New York,2017,41,X,1.0355,X,X,X,X,X,X,133,55,12844
States,North Carolina,2017,41,X,1.28615,X,X,X,X,X,X,189,47,14695
States,North Dakota,2017,41,X,0.412371,X,X,X,X,X,X,6,7,1455
States,Ohio,2017,41,X,0.623098,X,X,X,X,X,X,129,63,20703
States,Oklahoma,2017,41,X,1.85164,X,X,X,X,X,X,163,25,8803
States,Oregon,2017,41,X,0.932869,X,X,X,X,X,X,311,78,33338
States,Pennsylvania,2017,41,X,0.851492,X,X,X,X,X,X,533,143,62596
States,Rhode Island,2017,41,X,0.273742,X,X,X,X,X,X,13,23,4749
