status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,lng,lat
969804034524659712,2018-03-03T05:17:54Z,3303679092,itsalinuxsystem,"@KJohnsonNBCS Doctor, I just took two shots of 🥃 to get rid of my sore throat!",Twitter for iPhone,969785343191891968,49460011,KJohnsonNBCS,FALSE,FALSE,0,0,,,,,,,,,,,,,,49460011,KJohnsonNBCS,en,,,,,,,,,,,|,|,|||||||,,
969802380807163909,2018-03-03T05:11:20Z,941524850920783872,JaegerTamer,@Lin_Manuel @alyankovic Love the new hamildrop 💜💜 I tried my best to sing along tonight despite recovering from a sore throat 😅,Twitter for Android,969766590177861632,79923701,Lin_Manuel,FALSE,FALSE,0,0,,,,,,,,,,,,,,79923701|22461427,Lin_Manuel|alyankovic,en,,,,,,,,,,,|,|,|||||||,,
969800262821949440,2018-03-03T05:02:55Z,858343921037987840,fragileblkrose,My throat is still a little sore from all the screaming I did at the live action FMA,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
969799458241343488,2018-03-03T04:59:43Z,83871324,jawsgirly,"I really, really, really need my throat to be sore from too many cigarettes last night. I have no time to be sick. I have -5 time to be sick",Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
969797710235582469,2018-03-03T04:52:46Z,2179190754,Spicegirlb,@Skinny6zro @ChillySoSa for a sore throat it does!,Twitter Web Client,969795434490167296,2977567928,Skinny6zro,FALSE,FALSE,0,0,,,,,,,,,,,,,,2977567928|313537677,Skinny6zro|ChillySoSa,en,,,,,,,,,,,|,|,|||||||,,
969797345650102272,2018-03-03T04:51:19Z,279332702,SouljaGirl_ox,My throat is sore 😩,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
969797134462496768,2018-03-03T04:50:29Z,7083052,mamagemini,"Itchy ears, coughing, sore throat, runny nose..... Ugh. 
#headcold",Twitter for Android,,,,FALSE,FALSE,0,0,headcold,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
969796797404254208,2018-03-03T04:49:09Z,2312980996,honbontm,iKRJDJEJR I LITERALLY JUST GOT OVER A THROAT AND EAR INFECTION AND I LITERALLY HAVE A SORE THROAT HAHHAAH I HATE WINTER,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
969796121039122432,2018-03-03T04:46:27Z,20892683,EnchantdHart521,"@camila_bijoux @ricedaddy7 The last time I had it, my throat had gotten sore and swelled up a little bit but not to where I couldn’t breath!",Twitter for iPhone,969793992027095040,3307918698,camila_bijoux,FALSE,FALSE,1,0,,,,,,,,,,,,,,3307918698|1842701690,camila_bijoux|ricedaddy7,en,,,,,,,,,,,|,|,|||||||,,
969795681970982912,2018-03-03T04:44:43Z,794306029324554240,msammy23,this sore throat kicking my ass rn https://t.co/AgfkkpsHAA,Twitter for iPhone,,,,FALSE,FALSE,2,0,,,,,,http://pbs.twimg.com/tweet_video_thumb/DXVoBPbUQAABBlE.jpg,https://t.co/AgfkkpsHAA,https://twitter.com/msammy23/status/969795681970982912/photo/1,photo,http://pbs.twimg.com/tweet_video_thumb/DXVoBPbUQAABBlE.jpg,https://t.co/AgfkkpsHAA,https://twitter.com/msammy23/status/969795681970982912/photo/1,,,,en,,,,,,,,,,,|,|,|||||||,,
