status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords
965971991126736896,2018-02-20T15:30:44Z,25690462,nltarlow,@MarkGoulston Did you know that one of the potential side effects of #Tamiflu is violent behavior? I wonder if these school shootings are related. We should also look at the antipsychotics which have the same potential side effect. We need to get to the CAUSE of these problems! https://t.co/tHvmWzClsB,Twitter Web Client,,16074627,MarkGoulston,FALSE,FALSE,0,0,Tamiflu,,,,,http://pbs.twimg.com/media/DWfSQO4UMAAzWz5.jpg,https://t.co/tHvmWzClsB,https://twitter.com/nltarlow/status/965971991126736896/photo/1,photo,http://pbs.twimg.com/media/DWfSQO4UMAAzWz5.jpg,https://t.co/tHvmWzClsB,https://twitter.com/nltarlow/status/965971991126736896/photo/1,,16074627,MarkGoulston,en,,,,,,,,,,,|,|,|||||||
965970935856713728,2018-02-20T15:26:32Z,407456452,lesnooga,Diagnosed with type A flu. Taking Tamiflu.  Ugh!,Twitter for Android,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/2e5b7aeec8569317.json,Ringgold,"Ringgold, GA",city,United States,US,|,|,-85.1957372|-85.087955|-85.087955|-85.1957372|34.885052|34.885052|34.940708|34.940708
965968996867637249,2018-02-20T15:18:50Z,695548139357523969,Bat83Taher,"RT @USATODAYhealth: Not everyone who is sick with the flu needs Tamiflu, experts say. https://t.co/VNyn4KVFyI",Twitter for iPhone,,,,FALSE,TRUE,0,2,,,usat.ly/2BtbupY,https://t.co/VNyn4KVFyI,https://usat.ly/2BtbupY,,,,,,,,,26077026,USATODAYhealth,en,,,965968072241745921,"Not everyone who is sick with the flu needs Tamiflu, experts say. https://t.co/VNyn4KVFyI",,,,,,,|,|,|||||||
965968072241745921,2018-02-20T15:15:09Z,26077026,USATODAYhealth,"Not everyone who is sick with the flu needs Tamiflu, experts say. https://t.co/VNyn4KVFyI",Hootsuite,,,,FALSE,FALSE,4,2,,,usat.ly/2BtbupY,https://t.co/VNyn4KVFyI,https://usat.ly/2BtbupY,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||
965967095455399936,2018-02-20T15:11:17Z,4821932109,DanaElizabeth69,"RT @realorganicT: Ex-Pharmacist: she quick her job and speaks out.😲‼️
#realorganictruth #realnews #truth #tamiflu #fluhoax... https://t.co/…",Twitter for Android,,,,FALSE,TRUE,0,1,realorganictruth|realnews|truth|tamiflu|fluhoax,,,,,,,,,,,,,766866459490418688,realorganicT,en,,,964488884041105410,"Ex-Pharmacist: she quick her job and speaks out.😲‼️
#realorganictruth #realnews #truth #tamiflu #fluhoax... https://t.co/NN3fRM8RJx",,,,,,,|,|,|||||||
965962639439429632,2018-02-20T14:53:34Z,2282995203,IyamCamil,@BoomPowBAM Oh wow yea we had a child in care who had a high fever parents took him in patients first told them he had the flu gave him Tamiflu,Twitter for iPhone,965959927175852033,67517498,BoomPowBAM,FALSE,FALSE,0,0,,,,,,,,,,,,,,67517498,BoomPowBAM,en,,,,,,,,,,,|,|,|||||||
965960902246895616,2018-02-20T14:46:40Z,844555523588526080,FloridaFattys,@MikeLaBelle Did you not get tamiflu,Twitter for iPhone,965872445507940352,131079567,MikeLaBelle,FALSE,FALSE,0,0,,,,,,,,,,,,,,131079567,MikeLaBelle,en,,,,,,,,,,,|,|,|||||||
965959760590917637,2018-02-20T14:42:08Z,1908117384,RothwellFiggIP,"RT @BiosimilarsIP: Near the end of a particularly dangerous #flu season, which scientists consider to rival the swine flu pandemic of 2009,…",Twitter Web Client,,,,FALSE,TRUE,0,1,flu,,,,,,,,,,,,,796042197892108288,BiosimilarsIP,en,,,965958983457665024,"Near the end of a particularly dangerous #flu season, which scientists consider to rival the swine flu pandemic of 2009, Mumbai-based #pharmaceutical manufacturer #Lupin received @US_FDA approval for its generic version of #Roche’s #Tamiflu®. https://t.co/PWIL53pCQv",,,,,,,|,|,|||||||
965958983457665024,2018-02-20T14:39:02Z,796042197892108288,BiosimilarsIP,"Near the end of a particularly dangerous #flu season, which scientists consider to rival the swine flu pandemic of 2009, Mumbai-based #pharmaceutical manufacturer #Lupin received @US_FDA approval for its generic version of #Roche’s #Tamiflu®. https://t.co/PWIL53pCQv",Twitter Web Client,,,,FALSE,FALSE,0,1,flu|pharmaceutical|Lupin|Roche|Tamiflu,,bit.ly/2FhEaCj,https://t.co/PWIL53pCQv,http://bit.ly/2FhEaCj,,,,,,,,,208120290,US_FDA,en,,,,,,,,,,,|,|,|||||||
965957782666121216,2018-02-20T14:34:16Z,218693997,Mahoozilla,Probably buying all the #tamiflu - prices are ridic!! #amirite https://t.co/Q3vHVfYLuy,Twitter for iPhone,,,,TRUE,FALSE,0,0,tamiflu|amirite,,twitter.com/jasonleopold/s…,https://t.co/Q3vHVfYLuy,https://twitter.com/jasonleopold/status/965793383481409537,,,,,,,,,,,en,965793383481409537,"Docs also show banks tracked much smaller transactions made by Manafort

Wachovia officials flagged $25,000 in “fraudulent charges” at Duane Reade stores in NYC in Sept 2007. Bank officials said the debit card was in Manafort’s possession during that time

https://t.co/Xqybpon6HZ",,,,,,,,,|,|,|||||||
965953998326059010,2018-02-20T14:19:14Z,33565273,blessednellijay,Elderberry - The Most Anti-viral Fruit Known to Man https://t.co/7C868AUmz7,Facebook,,,,FALSE,FALSE,0,0,,,fb.me/8pxDSz5od,https://t.co/7C868AUmz7,https://fb.me/8pxDSz5od,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||
965947321623175168,2018-02-20T13:52:42Z,220746552,keetfeet,"@EmilyDWarfield I think the Tamiflu ""may upset stomach"" side effect is finally hitting. 👍🏻",Twitter for Android,965892074934554626,278882357,EmilyDWarfield,FALSE,FALSE,0,0,,,,,,,,,,,,,,278882357,EmilyDWarfield,en,,,,,,,,,,,|,|,|||||||
965934418455011328,2018-02-20T13:01:26Z,269535116,bayofarizona,"@PolitikMasFina I'm surprised you got Tamiflu. Most people I know aren't getting it, different strain maybe",Twitter for Android,965932723121610754,15872716,PolitikMasFina,FALSE,FALSE,0,0,,,,,,,,,,,,,,15872716,PolitikMasFina,en,,,,,,,,,,,|,|,|||||||
965930048720130048,2018-02-20T12:44:04Z,34821805,emaxhealth,These 10 Solutions May Help To Treat #Flu Symptoms Without #Tamiflu https://t.co/qMRjsPTHzt #flutreatment #fluremedies #fluhomeremedies,Twitter Web Client,,,,FALSE,FALSE,0,0,Flu|Tamiflu|flutreatment|fluremedies|fluhomeremedies,,emaxhealth.com/1506/treating-…,https://t.co/qMRjsPTHzt,https://www.emaxhealth.com/1506/treating-flu-symptoms-without-tamiflu,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||
