status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,lng,lat
976308813962797056,2018-03-21T04:05:34Z,1105847718,tribble09,"A medical officer with CDC's Influenza Division provides a detailed look at antivirals, which, after the flu shot, are the best flu protection. - https://t.co/vX0zqnUmTR",Twitter Web Client,,,,FALSE,FALSE,0,0,,,aarp.org/health/drugs-s…,https://t.co/vX0zqnUmTR,https://www.aarp.org/health/drugs-supplements/info-2018/flu-tamiflu-antivirals-fd.html?cmp=EMC-DSO-NLC-RSS---CTRL-032018-P4-2833891&ET_CID=2833891&ET_RID=14541861&mi_u=14541861&mi_ecmp=20180320_DailyBulletin_Control_247401_320001&encparam=PmzBostD%2bTtGwNA8DldH3sx%2bLtp%2b8QiD0JxLSuCs1EQ%3d,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
976303634429259778,2018-03-21T03:44:59Z,18347816,ADHD_Solution,An amazing fruit! https://t.co/bESipBzM7W,Facebook,,,,FALSE,FALSE,0,0,,,healthy-holistic-living.com/elderberry-ext…,https://t.co/bESipBzM7W,http://www.healthy-holistic-living.com/elderberry-extract-natures-tamiflu.html,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
976299722062184449,2018-03-21T03:29:27Z,198543309,KellyAnn1966,Elderberry Extract: Nature’s “Tamiflu” https://t.co/wVFKzby6Mk,Twitter for Android,,,,FALSE,FALSE,1,1,,,healthy-holistic-living.com/elderberry-ext…,https://t.co/wVFKzby6Mk,http://www.healthy-holistic-living.com/elderberry-extract-natures-tamiflu.html,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
976297949394173952,2018-03-21T03:22:24Z,361339709,Roselandreport,Elderberry - The Most Anti-viral Fruit Known to Man https://t.co/INGHGan1SS,Facebook,,,,FALSE,FALSE,0,0,,,healthy-holistic-living.com/elderberry-ext…,https://t.co/INGHGan1SS,http://www.healthy-holistic-living.com/elderberry-extract-natures-tamiflu.html,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
976286566376091648,2018-03-21T02:37:10Z,2522060433,SustainaButter,Much cheaper than a flu shot. https://t.co/qWWCCdn5KG,Facebook,,,,FALSE,FALSE,0,0,,,healthy-holistic-living.com/elderberry-ext…,https://t.co/qWWCCdn5KG,http://www.healthy-holistic-living.com/elderberry-extract-natures-tamiflu.html,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
976280317131542528,2018-03-21T02:12:20Z,22036409,JstTheTp,"@TomiLahren You're sick, Tamiflu.",Twitter for iPhone,976280209556058112,468646961,TomiLahren,FALSE,FALSE,4,0,,,,,,,,,,,,,,468646961,TomiLahren,en,,,,,,,,,,,|,|,|||||||,,
976277958238257152,2018-03-21T02:02:58Z,179498754,1innerchild,Elderberry - The Most Anti-viral Fruit Known to Man https://t.co/cwQoAX4UdW,Facebook,,,,FALSE,FALSE,0,0,,,healthy-holistic-living.com/elderberry-ext…,https://t.co/cwQoAX4UdW,http://www.healthy-holistic-living.com/elderberry-extract-natures-tamiflu.html,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
976275445145591808,2018-03-21T01:52:59Z,74557310,LOAbook,Elderberry - The Most Anti-viral Fruit Known to Man https://t.co/1kfaPvhrxR,Facebook,,,,FALSE,FALSE,0,0,,,healthy-holistic-living.com/elderberry-ext…,https://t.co/1kfaPvhrxR,http://www.healthy-holistic-living.com/elderberry-extract-natures-tamiflu.html,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
976274786795089920,2018-03-21T01:50:22Z,195005118,AskAVL,Anyone got any elderberries? https://t.co/vGFcqN1XEX,Facebook,,,,FALSE,FALSE,0,0,,,healthy-holistic-living.com/elderberry-ext…,https://t.co/vGFcqN1XEX,http://www.healthy-holistic-living.com/elderberry-extract-natures-tamiflu.html,,,,,,,,,,,en,,,,,,,,,,,|,|,|||||||,,
976242736776040448,2018-03-20T23:43:00Z,301638791,MMBnnNC,@RealJJade do you mean TamiFlu?,Tweetbot for Mac,976242532475592704,2245048928,RealJJade,FALSE,FALSE,0,0,,,,,,,,,,,,,,2245048928,RealJJade,en,,,,,https://api.twitter.com/1.1/geo/id/122cafc5c5677421.json,Seagate,"Seagate, NC",city,United States,US,|,|,-77.868466|-77.8232|-77.8232|-77.868466|34.18259|34.18259|34.220536|34.220536,-77.845833,34.201563
