status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,state
966116487818826000,2018-02-21T01:04:54Z,743323788389950000,Thecreator0513,Someone took the biggest Ls💀 today “cough cough” and it wasn’t me this time,Twitter for iPhone,,,,FALSE,FALSE,2,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/3df4f427b5a60fea.json,San Antonio,"San Antonio, TX",city,United States,US,|,|,-98.778559|-98.302744|-98.302744|-98.778559|29.141956|29.141956|29.693046|29.693046,Texas
966108121105125000,2018-02-21T00:31:40Z,627662027,MLindsey895,"I have coughed so much that I couldn’t cough, mid cough.",Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/000df0c11a2783f2.json,Hillview,"Hillview, KY",city,United States,US,|,|,-85.710047|-85.608063|-85.608063|-85.710047|38.0293|38.0293|38.086251|38.086251,Kentucky
966107772021625000,2018-02-21T00:30:16Z,91866239,SueFlayyyyy,"Got my medicine, some good ole tea for a hot toddy, and hella cough drops....fuck this cold",Twitter for Android,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/f995a9bd45d4a867.json,Memphis,"Memphis, TN",city,United States,US,|,|,-90.135782|-89.708276|-89.708276|-90.135782|34.994192|34.994192|35.2728491|35.2728491,Tennessee
966107756410409000,2018-02-21T00:30:13Z,428528642,trav_allen,"If I inhale a cough drop directly into my lungs, will my chest cold go away?",Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/ce66852c89aa6582.json,Reynoldsburg,"Reynoldsburg, OH",city,United States,US,|,|,-82.835601|-82.693943|-82.693943|-82.835601|39.931348|39.931348|40.018293|40.018293,Ohio
966107374829408000,2018-02-21T00:28:42Z,4171428433,TheScottoShow,This I’d gladly cough up the cash for. https://t.co/SHqrvz1cKO,Twitter for iPhone,,,,TRUE,FALSE,1,1,,,twitter.com/victoriasvp/st…,https://t.co/SHqrvz1cKO,https://twitter.com/victoriasvp/status/965716698274893824,,,,,,,,,,,en,965716698274894000,Follow the thread to watch these bad boys 🤤 https://t.co/s8ipuOi5H5,,,https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json,Houston,"Houston, TX",city,United States,US,|,|,-95.823268|-95.069705|-95.069705|-95.823268|29.522325|29.522325|30.1546646|30.1546646,Texas
966106488203657000,2018-02-21T00:25:10Z,1338263016,hudson_jamisha,"Every time I cough, it feels like my lungs are trying to leave my body 😭 fuuuucccckkkkkk.",Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/5c62ffb0f0f3479d.json,Phoenix,"Phoenix, AZ",city,United States,US,|,|,-112.3239143|-111.9254391|-111.9254391|-112.3239143|33.29026|33.29026|33.8154652|33.8154652,Arizona
966102914698682000,2018-02-21T00:10:58Z,604104740,BradLindenSoCal,"Happy #LoveYourPetDay!
To celebrate take naps, beg for treats and purr when your tummy is rubbed.
Just don't cough up a furball. https://t.co/l8H7stGY2n",Twitter Web Client,,,,FALSE,FALSE,17,3,LoveYourPetDay,,,,,http://pbs.twimg.com/media/DWhJa5vUMAAHCsL.jpg,https://t.co/l8H7stGY2n,https://twitter.com/BradLindenSoCal/status/966102914698682368/photo/1,photo,http://pbs.twimg.com/media/DWhJa5vUMAAHCsL.jpg,https://t.co/l8H7stGY2n,https://twitter.com/BradLindenSoCal/status/966102914698682368/photo/1,,,,en,,,,,https://api.twitter.com/1.1/geo/id/3b77caf94bfc81fe.json,Los Angeles,"Los Angeles, CA",city,United States,US,|,|,-118.668404|-118.155409|-118.155409|-118.668404|33.704538|33.704538|34.337041|34.337041,California
966098277274972000,2018-02-20T23:52:33Z,15394013,Kris_Jones,A stranger on the train just offered me a cough drop... this is the second person today to do this...here I thought I was getting better https://t.co/c1O6ma80nf,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,http://pbs.twimg.com/tweet_video_thumb/DWhFQaUVAAEjXYb.jpg,https://t.co/c1O6ma80nf,https://twitter.com/Kris_Jones/status/966098277274972161/photo/1,photo,http://pbs.twimg.com/tweet_video_thumb/DWhFQaUVAAEjXYb.jpg,https://t.co/c1O6ma80nf,https://twitter.com/Kris_Jones/status/966098277274972161/photo/1,,,,en,,,,,https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json,Manhattan,"Manhattan, NY",city,United States,US,|,|,-74.026675|-73.910408|-73.910408|-74.026675|40.683935|40.683935|40.877483|40.877483,New York
966095933065876000,2018-02-20T23:43:14Z,947184500,JennaMarshall18,"Bobby and I have been sick af for 5 days now lol
*laying down and cuddling in bed* 
*both start having a cough attack at the same time*
Fucking goals amiright???",Twitter for iPhone,,,,FALSE,FALSE,4,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/fdbee5cdec8043ac.json,Flagstaff,"Flagstaff, AZ",city,United States,US,|,|,-111.710027|-111.560272|-111.560272|-111.710027|35.122005|35.122005|35.243495|35.243495,Arizona
966095221913281000,2018-02-20T23:40:24Z,2953371627,c_trego,This is way it is important to cover your mouth when you sneeze or cough . #PSA https://t.co/D0AayHrYpK,Twitter for iPhone,,,,TRUE,FALSE,0,0,PSA,,twitter.com/danjlevy/statu…,https://t.co/D0AayHrYpK,https://twitter.com/danjlevy/status/966049411028496384,,,,,,,,,,,en,966049411028497000,"Happy Tuesday, everyone! https://t.co/yVyylxRisp",,,https://api.twitter.com/1.1/geo/id/01a17f677637ec9a.json,Fincastle,"Fincastle, KY",city,United States,US,|,|,-85.5816227|-85.532569|-85.532569|-85.5816227|38.297542|38.297542|38.328262|38.328262,Kentucky
