status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,state
965933741762805760,2018-02-20T12:58:44Z,903815458129932000,SaharaJohnson21,Gb NFC DC be veg unplug JK log hmm KFC GB fever DC crew Dallinmin GB by they GB bed SC BBS globulin I'll Lynn hmm hmm NFC FC fee Carolyn hmm NFC GB be Berlin hmm Lynn hmm nutty grub GB bed DC defending km Lynn JK pun I'm normal FC few eve explain DC be Caitlin hmm min GB befriend,Twitter for Android,965933739812511744,903815458129932290,SaharaJohnson21,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/e444ecd51bd16ff3.json,Cincinnati,"Cincinnati, OH",city,United States,US,|,|,-84.710722|-84.3689026|-84.3689026|-84.710722|39.052962|39.052962|39.2211137|39.2211137,Ohio
965931223985115136,2018-02-20T12:48:44Z,3293602203,MROSHEA_,so i had a fever blister coming &amp; my mom popped it now the left side of my lip swollen ☹️,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/dd3b100831dd1763.json,New Orleans,"New Orleans, LA",city,United States,US,|,|,-90.137908|-89.884108|-89.884108|-90.137908|29.889574|29.889574|30.075628|30.075628,Louisiana
965929766158299137,2018-02-20T12:42:57Z,2721068846,PostmanKese,I can barely handle a sore throat and a fever 😭,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/f995a9bd45d4a867.json,Memphis,"Memphis, TN",city,United States,US,|,|,-90.135782|-89.708276|-89.708276|-90.135782|34.994192|34.994192|35.2728491|35.2728491,Tennessee
965929398267469824,2018-02-20T12:41:29Z,1335409938,kateevelyn3,"Me: flying to India on Saturday, has plans for work all week &amp; it's finally warm out so is looking forward to going to work.
Also me: wakes up with a fever and chills 
I hate everything.",Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/8193d87541f11dfb.json,Cambridge,"Cambridge, MA",city,United States,US,|,|,-71.160356|-71.064398|-71.064398|-71.160356|42.352429|42.352429|42.4039663|42.4039663,Massachusetts
965929202817040384,2018-02-20T12:40:42Z,903815458129932000,SaharaJohnson21,那里 不FC fee Dallin hmm MTV GB free Calhoun hmm Jun GB brrget DC dew skin hmm NYC TV fee car skin hmm kin GB Bryce DC few Calhoun hmm Jun GB fever DC Carolyn hmm Lynn GB brr VCR FC fee Caitlin GM BBC FC fee car DC veg club hmm kg GB VT veg club GM Jun GB get DHL km kg GB he CS,Twitter for Android,965929201110077440,903815458129932290,SaharaJohnson21,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/e444ecd51bd16ff3.json,Cincinnati,"Cincinnati, OH",city,United States,US,|,|,-84.710722|-84.3689026|-84.3689026|-84.710722|39.052962|39.052962|39.2211137|39.2211137,Ohio
965923556470247424,2018-02-20T12:18:16Z,21230617,resplendentlyme,"Fever? Vomiting? Stay home, please. @realevilhrlady https://t.co/LeZcWX9bY0 via @Inc",Twitter for iPhone,,,,FALSE,FALSE,0,0,,,inc.com/suzanne-lucas/…,https://t.co/LeZcWX9bY0,https://www.inc.com/suzanne-lucas/your-rigid-attendance-policies-are-making-everyone-sick.html,,,,,,,,,121728825|16896485,RealEvilHRLady|Inc,en,,,,,https://api.twitter.com/1.1/geo/id/01092ff657add392.json,Maryville,"Maryville, TN",city,United States,US,|,|,-84.120656|-83.85217|-83.85217|-84.120656|35.663386|35.663386|35.788977|35.788977,Tennessee
965923246137847813,2018-02-20T12:17:02Z,2520375868,kor_rich98,oh Lord help me with this baby fever. I can’t wait to make a little human 😭❤️ https://t.co/XgSGchRY8y,Twitter for iPhone,,,,TRUE,FALSE,0,0,,,twitter.com/leslieeisabell…,https://t.co/XgSGchRY8y,https://twitter.com/leslieeisabella/status/965736957136527360,,,,,,,,,,,en,965736957136527000,"God took his time when he made you, babygirl. 🛁🌸🌷 https://t.co/yGvlbao0wp",,,https://api.twitter.com/1.1/geo/id/575d081545111415.json,Rose Hill,"Rose Hill, KS",city,United States,US,|,|,-97.142166|-97.120806|-97.120806|-97.142166|37.555766|37.555766|37.585069|37.585069,Kansas
965910987227516928,2018-02-20T11:28:19Z,76518754,crose84,"I’d been fever free for 24 hours and thought I’d turned a corner. Haha, nope.",Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/1d9a5370a355ab0c.json,Chicago,"Chicago, IL",city,United States,US,|,|,-87.940033|-87.523993|-87.523993|-87.940033|41.644102|41.644102|42.0230669|42.0230669,Illinois
965909702914830336,2018-02-20T11:23:13Z,3599040980,42Eclectic,It’s a Cabin Fever ☀️ winter sale tonight from 5:00 - 7:00 PM in beautiful historic downtown… https://t.co/joyCHBdHSV,Instagram,,,,FALSE,FALSE,0,0,,,instagram.com/p/Bfaqu_3jnL8/,https://t.co/joyCHBdHSV,https://www.instagram.com/p/Bfaqu_3jnL8/,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/6fecf0e11babf09e.json,Wabash,"Wabash, IN",city,United States,US,40.79607|-85.82115,-85.82115|40.79607,-85.85605|-85.789417|-85.789417|-85.85605|40.77105|40.77105|40.839798|40.839798,Indiana
965908162078478336,2018-02-20T11:17:06Z,759153656730190000,Dragonator235,100 degree fever yesterday. 101.5 today. Hooray 😫,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/01ed0b8e28d505ae.json,Canton,"Canton, MA",city,United States,US,|,|,-71.177553|-71.0665792|-71.0665792|-71.177553|42.135115|42.135115|42.227797|42.227797,Massachusetts
