status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,lng,lat,state
976299393828597760,2018-03-21T03:28:08Z,915569228,hayatohuseman,There's an enormous amount of pressure on the right side of my face and I can't pop my ear. P sure I have an ear infection and this is hell please let me go back to just having a fever,Twitter for iPhone,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/018929347840059e.json,Indianapolis,"Indianapolis, IN",city,United States,US,|,|,-86.348441|-85.937404|-85.937404|-86.348441|39.631677|39.631677|39.927448|39.927448,-86.1429225,39.7795625,Indiana
976299119265308672,2018-03-21T03:27:03Z,872779652,Alex_Pieros,"Had a weird fever dream last night that involved hearing new Hard Girls songs, and now I know why. Keep on rockin’, dudes 🤘 https://t.co/KjbqzZGvZn",Twitter for iPhone,,,,TRUE,FALSE,0,0,,,twitter.com/hardgirlsband/…,https://t.co/KjbqzZGvZn,https://twitter.com/hardgirlsband/status/976181077826916352,,,,,,,,,,,en,976181077826916000,"💌 Hello friends &amp; fans, freaks &amp; fam 💌

Circumstances have split us up geographically, and its unclear when we'll play next. We still hope to be able to play more this year &amp; keep making the best music we can. Thank you all for listening, hope to see you soon 

-HG",,,https://api.twitter.com/1.1/geo/id/a75bc1fb166cd594.json,Culver City,"Culver City, CA",city,United States,US,|,|,-118.4484512|-118.369529|-118.369529|-118.4484512|33.976882|33.976882|34.035143|34.035143,-118.4089901,34.0060125,California
976299079264161792,2018-03-21T03:26:53Z,174898548,Nom_EATCookie,My fever went down . I can finally get some rest,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/7142eb97ae21e839.json,Georgia,"Georgia, USA",admin,United States,US,|,|,-85.605166|-80.742567|-80.742567|-85.605166|30.355644|30.355644|35.000771|35.000771,-83.1738665,32.6782075,Georgia
976298963912466433,2018-03-21T03:26:26Z,949417896161239000,MiaConstance11,I have badddd puppy fever,Twitter for Android,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/291ddfe5148eb679.json,Georgetown,"Georgetown, TX",city,United States,US,|,|,-97.752578|-97.615665|-97.615665|-97.752578|30.5733183|30.5733183|30.7417061|30.7417061,-97.6841215,30.6575122,Texas
976296907873009669,2018-03-21T03:18:16Z,3027258012,rhaeegals,I’m having the worst baby fever ever lately Holy shit,Twitter for iPhone,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/a84b808ce3f11719.json,Omaha,"Omaha, NE",city,United States,US,|,|,-96.234587|-95.872275|-95.872275|-96.234587|41.175884|41.175884|41.375558|41.375558,-96.053431,41.275721,Nebraska
976296472562958336,2018-03-21T03:16:32Z,1285131757,Janabananaky,"#basketball fever #Sweepstakes
https://t.co/HK2DbLqne2",Twitter for Android,,,,FALSE,FALSE,0,0,basketball|Sweepstakes,,woobox.com/7xoecx/k3i1dq,https://t.co/HK2DbLqne2,https://woobox.com/7xoecx/k3i1dq,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/095534ad3107e0e6.json,Louisville,"Louisville, KY",city,United States,US,|,|,-85.847503|-85.597188|-85.597188|-85.847503|38.108678|38.108678|38.282432|38.282432,-85.7223455,38.195555,Kentucky
976295087285051394,2018-03-21T03:11:02Z,444812838,BoulwareRebecca,"i love how yesterday i was saying that i never get sick, &amp; here i am today with a fever and sore throat. should’ve knocked on wood i guess",Twitter for iPhone,,,,FALSE,FALSE,3,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/e0060cda70f5f341.json,Texas,"Texas, USA",admin,United States,US,|,|,-106.645646|-93.508131|-93.508131|-106.645646|25.837092|25.837092|36.500695|36.500695,-100.0768885,31.1688935,Texas
976293674488233985,2018-03-21T03:05:25Z,73886414,A_L_S_I_N_A,"sweating fever 🤒 🏃‍♂️ 💧💦
..
.
.
.
.
.
.
.
.
.
 #run #runner #running #door2door #lonerunner… https://t.co/sXgxjL5IQZ",Instagram,,,,FALSE,FALSE,0,0,run|runner|running|door2door|lonerunner,,instagram.com/p/BgkcyH0ny6j/,https://t.co/sXgxjL5IQZ,https://www.instagram.com/p/BgkcyH0ny6j/,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/51264211e147d635.json,Lake Magdalene,"Lake Magdalene, FL",city,United States,US,28.10507533|-82.50070248,-82.50070248|28.10507533,-82.506967|-82.452059|-82.452059|-82.506967|28.054599|28.054599|28.1207507|28.1207507,-82.479513,28.08767485,Florida
976293527972864000,2018-03-21T03:04:50Z,73886414,A_L_S_I_N_A,"sweating fever 🤒 🏃‍♂️ 💧💦
..
.
.
.
.
.
.
.
.
.
 #run #runner #running #door2door #lonerunner… https://t.co/0fzwKAzCXu",Instagram,,,,FALSE,FALSE,0,0,run|runner|running|door2door|lonerunner,,instagram.com/p/BgkcsWVHmRh/,https://t.co/0fzwKAzCXu,https://www.instagram.com/p/BgkcsWVHmRh/,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/51264211e147d635.json,Lake Magdalene,"Lake Magdalene, FL",city,United States,US,28.10507533|-82.50070248,-82.50070248|28.10507533,-82.506967|-82.452059|-82.452059|-82.506967|28.054599|28.054599|28.1207507|28.1207507,-82.479513,28.08767485,Florida
976292000407285760,2018-03-21T02:58:46Z,22535555,GimTibson,"Three Cheers for Sweet Revenge - My Chemical Romance
Somewhere at the Bottom of the River Between Vega and Altair - La Dispute
A Fever You Can’t Sweat Out - Panic! At The Disco
Camp - Childish Gambino
Reroute to Remain - In Flames
Mothership/Dance Gavin Dance - Dance Gavin Dance https://t.co/yEq8FrhIwi",Twitter for iPhone,,,,TRUE,FALSE,1,0,,,twitter.com/moboawards/sta…,https://t.co/yEq8FrhIwi,https://twitter.com/moboawards/status/973252754696220672,,,,,,,,,,,en,973252754696221000,"Name an album, in any genre, that you think is 100% perfect - where you don’t skip 1 track. https://t.co/2hhxF90Rwj",,,https://api.twitter.com/1.1/geo/id/7c09539af94ab80b.json,Sayreville,"Sayreville, NJ",city,United States,US,|,|,-74.385802|-74.258203|-74.258203|-74.385802|40.441457|40.441457|40.5090155|40.5090155,-74.3220025,40.47523625,New Jersey
976291630759096321,2018-03-21T02:57:18Z,3317174323,terrancebretho2,"Georgia or Arizona 🤔 I like hot weather, but I also am starting to get jungle fever 😏. Idk yet lmao",Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/ac88a4f17a51c7fc.json,Portland,"Portland, OR",city,United States,US,|,|,-122.7900653|-122.471751|-122.471751|-122.7900653|45.421863|45.421863|45.6509405|45.6509405,-122.63090815,45.53640175,Oregon
