status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,state
9.65818E+17,2018-02-20T05:19:41Z,624581733,spiffy_moh,"Dont kome around me if you got the sneezing, the koughing the flu nun of that kause im a blood and we aint on the same shit",Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/3df4f427b5a60fea.json,San Antonio,"San Antonio, TX",city,United States,US,|,|,-98.778559|-98.302744|-98.302744|-98.778559|29.141956|29.141956|29.693046|29.693046,Texas
9.65816E+17,2018-02-20T05:11:47Z,3286943472,mamixmari,I think I caught the flu because I threw up last night and I just had to pull over to yack again on my drive home AND I have to write two essays when I get home and I compete at nationals this weekend WHY IS MY LIFE A MESS,Twitter for iPhone,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/ad4876a662119b74.json,Pleasanton,"Pleasanton, CA",city,United States,US,|,|,-121.956864|-121.7986057|-121.7986057|-121.956864|37.621859|37.621859|37.704036|37.704036,California
9.65813E+17,2018-02-20T04:59:53Z,90788828,Xrossfade,"Feels so good being able to breathe again, fuck the flu.",Twitter for iPhone,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/59dab0b1b9779311.json,Dearborn Heights,"Dearborn Heights, MI",city,United States,US,|,|,-83.312805|-83.217437|-83.217437|-83.312805|42.268212|42.268212|42.357044|42.357044,Michigan
9.65812E+17,2018-02-20T04:53:40Z,3287157404,_Kdeezzy,"People asking me how I lost weight , just get the damn flu _Ÿ˜‚_Ÿ˜‚",Twitter for iPhone,,,,FALSE,FALSE,2,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/5a110d312052166f.json,San Francisco,"San Francisco, CA",city,United States,US,|,|,-122.514926|-122.357031|-122.357031|-122.514926|37.708075|37.708075|37.833238|37.833238,California
9.65811E+17,2018-02-20T04:52:03Z,1029904669,kaitlynmai_,Please pray for @tristantmay!! He has the flu and I just miss my funny friend â˜_ï¸è,Twitter for iPhone,,,,FALSE,FALSE,2,0,,,,,,,,,,,,,,1056832183,tristantmay,en,,,,,https://api.twitter.com/1.1/geo/id/350ad20be66e9edc.json,Port Arthur,"Port Arthur, TX",city,United States,US,|,|,-94.053284|-93.858553|-93.858553|-94.053284|29.823923|29.823923|29.979166|29.979166,Texas
9.65811E+17,2018-02-20T04:49:10Z,3365338383,DestiniThomas03,I think Iâ€™m getting the flu _Ÿ_§,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/5c6bd208d7ddf9f6.json,Cary,"Cary, NC",city,United States,US,|,|,-78.9448945|-78.7291467|-78.7291467|-78.9448945|35.6443837|35.6443837|35.867993|35.867993,North Carolina
9.6581E+17,2018-02-20T04:47:20Z,3379823116,trillaaman,The last time I got a flu shot was in 4th grade and that was the last time I ever got the flu just saying _Ÿ_·_Ÿè_â€çâ™‚ï¸è,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/73d1c1c11b675932.json,Chesapeake,"Chesapeake, VA",city,United States,US,|,|,-76.448383|-76.143408|-76.143408|-76.448383|36.66|36.66|36.866431|36.866431,Virginia
9.6581E+17,2018-02-20T04:47:09Z,166358816,katlaytonbinns,"The flu is weird though. I went from coughing with a runny nose, to crying every time I moved my body, to sleeping nonstop and still being tired. Iâ€™m still in the sleeping/tired phase, but it sucks cause I keep waking up confused.",Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/00f751614d8ce37b.json,Richmond,"Richmond, VA",city,United States,US,|,|,-77.601044|-77.385297|-77.385297|-77.601044|37.447046|37.447046|37.61272|37.61272,Virginia
9.6581E+17,2018-02-20T04:46:38Z,29293228,lorenpiretra,Wouldnâ€™t wish the stomach flu and/or food poisoning on my worst enemy _Ÿ_¢_Ÿ˜©_Ÿ˜·,Twitter for iPhone,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/59612bd882018c51.json,Santa Monica,"Santa Monica, CA",city,United States,US,|,|,-118.5173575|-118.443482|-118.443482|-118.5173575|33.9951771|33.9951771|34.050199|34.050199,California
9.65809E+17,2018-02-20T04:43:59Z,166358816,katlaytonbinns,"Since Iâ€™ve had the flu, Jacob has slept on the couch. THIS IS THE 4TH NIGHT PPL. This bed is so lonely now. Even Emily misses his snuggles.",Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/00f751614d8ce37b.json,Richmond,"Richmond, VA",city,United States,US,|,|,-77.601044|-77.385297|-77.385297|-77.601044|37.447046|37.447046|37.61272|37.61272,Virginia
9.65808E+17,2018-02-20T04:38:34Z,1599209262,toskyAHLWild,"Svedberg said a short bout with the flu prevented him from playing Sunday. ""It was quick and short, but did give me a chance to get some rest,"" #IAWild",Twitter Web Client,,,,FALSE,FALSE,0,0,IAWild,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/4a9aecc7ad6b85e6.json,West Des Moines,"West Des Moines, IA",city,United States,US,|,|,-93.8461837|-93.7033258|-93.7033258|-93.8461837|41.5280075|41.5280075|41.600507|41.600507,Iowa
9.65807E+17,2018-02-20T04:35:28Z,1888400258,AoD_iiNSaNe,I feel like Iâ€™m dying... friggin flu... I know thatâ€™s what this is. There is no mistaking this evil.,Twitter for iPhone,,,,FALSE,FALSE,3,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/ea98531b10405c6a.json,Midvale,"Midvale, UT",city,United States,US,|,|,-111.921741|-111.855658|-111.855658|-111.921741|40.593357|40.593357|40.631074|40.631074,Utah
9.65807E+17,2018-02-20T04:34:40Z,39914724,JoKakia4Love,"I wake up in the hospital and finally feeling OK to look at my phone and this is trending.

Don't get the #flu
#TrumpColluded",Twitter for Android,,,,FALSE,FALSE,2,0,flu|TrumpColluded,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/6b55df049258bade.json,Mission Viejo,"Mission Viejo, CA",city,United States,US,|,|,-117.6959476|-117.617598|-117.617598|-117.6959476|33.5349414|33.5349414|33.672075|33.672075,California
9.65807E+17,2018-02-20T04:34:12Z,281876864,Mandaceee,I will never take being healthy for granted again I promise _Ÿ˜©_Ÿ˜ª the flu sucks!,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/b76a96fd566f9172.json,South Jordan,"South Jordan, UT",city,United States,US,|,|,-112.031592|-111.8949634|-111.8949634|-112.031592|40.536852|40.536852|40.582109|40.582109,Utah
9.65807E+17,2018-02-20T04:34:12Z,144325945,pellisizzle,Like how can I make this flu worse _Ÿ_” I should really work myself into an anxious frenzy by checking my emails!,Twitter for iPhone,9.65806E+17,144325945,pellisizzle,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/cb0cf91993fea922.json,Ronkonkoma,"Ronkonkoma, NY",city,United States,US,|,|,-73.171423|-73.084176|-73.084176|-73.171423|40.781995|40.781995|40.832939|40.832939,New York
9.65806E+17,2018-02-20T04:32:31Z,1286296381,ashleighserio,I don't have the flu or emphysema but I sure sound like I do thanks to this ridiculous cough i got goin on_Ÿ™„_Ÿ™„_Ÿ™„,Twitter for Android,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/30834dbb6d2bca01.json,Beebe,"Beebe, AR",city,United States,US,|,|,-91.927477|-91.8633735|-91.8633735|-91.927477|35.05362|35.05362|35.088991|35.088991,Arkansas
9.65806E+17,2018-02-20T04:31:43Z,2690069943,uwnilandil,Everyone send me your thoughts and prayers so this flu can go away,Twitter for iPhone,,,,FALSE,FALSE,2,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/01dbb65417ea1f56.json,Oshtemo,"Oshtemo, MI",city,United States,US,|,|,-85.7574814|-85.6479676|-85.6479676|-85.7574814|42.244752|42.244752|42.324159|42.324159,Michigan
9.65806E+17,2018-02-20T04:31:41Z,377431528,LaRowley1,"@ShaneBloeser @catecool @lennysstudio Uuuuh so sorry! I do have a cold, but not the flu...feel better soon! _Ÿçœâ˜•ï¸è_Ÿ¥_hydrate well!",Twitter for iPhone,9.65764E+17,148333118,ShaneBloeser,FALSE,FALSE,0,0,,,,,,,,,,,,,,148333118|57141912|176781424,ShaneBloeser|catecool|lennysstudio,en,,,,,https://api.twitter.com/1.1/geo/id/00487e63709614f2.json,Woodhaven,"Woodhaven, MI",city,United States,US,|,|,-83.306006|-83.215583|-83.215583|-83.306006|42.1092163|42.1092163|42.18442|42.18442,Michigan
9.65806E+17,2018-02-20T04:29:24Z,1035676182,Abbylishis23,Oh my gosh this is the second time Iâ€™ve had the flu,Twitter for iPhone,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/9ce0f1d2eb5998ce.json,Bryan,"Bryan, TX",city,United States,US,|,|,-96.439644|-96.255918|-96.255918|-96.439644|30.6092141|30.6092141|30.722503|30.722503,Texas
9.65805E+17,2018-02-20T04:28:07Z,284688081,alexis_monai,"I walked into the house and saw ginger ale, halls, saltine crackers, NyQuil, on the kitchen counter _Ÿ___Ÿè_â€çâ™€ï¸è that right there is the flu package deal _Ÿ™…_Ÿè_â€çâ™€ï¸è I will not be leaving my room for any extra curricular house activities !!! _Ÿ˜‚",Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/84229b03659050aa.json,Virginia Beach,"Virginia Beach, VA",city,United States,US,|,|,-76.22808|-75.9118121|-75.9118121|-76.22808|36.672684|36.672684|36.932399|36.932399,Virginia
9.65803E+17,2018-02-20T04:20:16Z,45495030,LaneWalbert,"Finna beat this flu, catch me out here straight https://t.co/XgnfgFMv7W",Twitter for Android,,,,TRUE,FALSE,0,0,,,twitter.com/bunnysay_ebookâ€_,https://t.co/XgnfgFMv7W,https://twitter.com/bunnysay_ebooks/status/965802948986114048,,,,,,,,,,,en,9.65803e+17,"ï_œï¿£ï¿£ï¿£ï¿£ï¿£ï¿£ï¿£ï¿£ï¿£ï¿£ï_œ
ï_œã€€ï_“ï_èï_•ï_êï_‰ï__ï_‡ã€€ã€€ï_œ
ï_œï_¿ï_¿ï_¿ï_¿ï_¿ï_¿ï_¿ï_¿ï_¿ï_¿ï_œ
(\_âù€) ||
(â€¢ã……â€¢) ||
/ ã€€ ãÅ¥",,,https://api.twitter.com/1.1/geo/id/448a1775be49da49.json,Cumberland,"Cumberland, MD",city,United States,US,|,|,-78.8128005|-78.7032684|-78.7032684|-78.8128005|39.6044076|39.6044076|39.7221912|39.7221912,Maryland
