status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,state
965970736438538000,2018-02-20T15:25:45Z,3121935642,rob_the_gemini,I can hear my mom callin this pneumonia weather in my head man 😭😂,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/b004be67b9fd6d8f.json,Norfolk,"Norfolk, VA",city,United States,US,|,|,-76.334287|-76.177085|-76.177085|-76.334287|36.820791|36.820791|36.969373|36.969373,Virginia
965969005277303000,2018-02-20T15:18:52Z,2572153573,SFACHN,"We are waiving all copays and deductibles for telemedicine (medical), telehealth (behavioral health), and immunization services provided at the Holiday Lakes City Hall (195 N. Texas Ave, Angleton, TX 77515) at this time.

Services include Flu, Pneumonia, and Tetanus vaccines.",Twitter Web Client,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/fe6fdbea8b8a1476.json,Angleton,"Angleton, TX",city,United States,US,|,|,-95.4546393|-95.390443|-95.390443|-95.4546393|29.10696|29.10696|29.205233|29.205233,Texas
965968569258390000,2018-02-20T15:17:08Z,2572153573,SFACHN,"The Mobile Clinic team will be at the Holiday Lakes City Hall (195 N. Texas Ave, Angleton, TX 77515) today from 11:00am - 4:00pm. 

Immunization services include Flu, Pneumonia, and Tetanus vaccines.",Twitter Web Client,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/fe6fdbea8b8a1476.json,Angleton,"Angleton, TX",city,United States,US,|,|,-95.4546393|-95.390443|-95.390443|-95.4546393|29.10696|29.10696|29.205233|29.205233,Texas
965965496939106000,2018-02-20T15:04:55Z,518966119,_Christieee,i hope i get pneumonia from being outside in the rain so my boss won’t make me go outside anymore,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/a9eb1b07c3864593.json,Taylor,"Taylor, MI",city,United States,US,|,|,-83.308978|-83.228111|-83.228111|-83.308978|42.181294|42.181294|42.269861|42.269861,Michigan
965955184013857000,2018-02-20T14:23:57Z,188942401,_yandaddy,Niggas really in here with shorts on like this not pneumonia weather,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/394f027fe2674c28.json,Mayfield Heights,"Mayfield Heights, OH",city,United States,US,|,|,-81.474912|-81.43201|-81.43201|-81.474912|41.500849|41.500849|41.533113|41.533113,Ohio
965950725577691000,2018-02-20T14:06:14Z,119812984,santanacarballo,"#NikolasCruz mother died from pneumonia, a non-deadly disease  in every developed country. We need #MedicareForAll #NeverAgain",Twitter for Android,,,,FALSE,FALSE,0,0,NikolasCruz|MedicareForAll|NeverAgain,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/010fe8ec35bd7f28.json,North Chili,"North Chili, NY",city,United States,US,|,|,-77.818605|-77.730012|-77.730012|-77.818605|43.107506|43.107506|43.127433|43.127433,New York
965926452536463000,2018-02-20T12:29:46Z,315304191,AlcoholAdvocate,"@realDonaldTrump Hahaha you are literally the worst president in history other that the guy that refused to wear a jacket and died of pneumonia after his inauguration.  Hahaha you suck at this!
https://t.co/SRhg3ZYldz",Twitter for iPhone,,25073877,realDonaldTrump,FALSE,FALSE,0,0,,,msnbc.com/rachel-maddow-…,https://t.co/SRhg3ZYldz,http://www.msnbc.com/rachel-maddow-show/scholars-rankings-offer-good-news-obama-bad-news-trump?cid=sm_fb_maddow,,,,,,,,,25073877,realDonaldTrump,en,,,,,https://api.twitter.com/1.1/geo/id/946ccd22e1c9cda1.json,Pittsburgh,"Pittsburgh, PA",city,United States,US,|,|,-80.095586|-79.8657933|-79.8657933|-80.095586|40.3615796|40.3615796|40.501198|40.501198,Pennsylvania
965908098895446000,2018-02-20T11:16:51Z,624969131,EdGainesIII,"Brushing teeth &amp; gargling before surgery reduces risks as #hospitals battle #pneumonia, hospitals enlist this low-tech weapon https://t.co/d8b1yjVyAr via @WSJ",Twitter for iPhone,,,,FALSE,FALSE,0,0,hospitals|pneumonia,,wsj.com/articles/in-ho…,https://t.co/d8b1yjVyAr,https://www.wsj.com/articles/in-hospitals-pneumonia-is-a-lethal-enemy-1518868800,,,,,,,,,3108351,WSJ,en,,,,,https://api.twitter.com/1.1/geo/id/a6c257c61f294ec1.json,Greensboro,"Greensboro, NC",city,United States,US,|,|,-80.0295184|-79.6852086|-79.6852086|-80.0295184|35.962623|35.962623|36.218171|36.218171,North Carolina
965871098834272000,2018-02-20T08:49:49Z,593434643,AlanMassengale1,Scope a Dope addendum-- just heard from 3 very smart people who got checked for cancer in the last two weeks. I missed their notes because I was in hospital with surgery and pneumonia. What a slacker I am! Keep the good news coming !,Twitter for iPhone,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/01c060cf466c6ce3.json,Long Beach,"Long Beach, CA",city,United States,US,|,|,-118.250227|-118.0631938|-118.0631938|-118.250227|33.732905|33.732905|33.885438|33.885438,California
965849018847777000,2018-02-20T07:22:05Z,17959022,ChrisOneOfakind,@judithnunez_ You’re about to catch pneumonia lol,Twitter for iPhone,965839918789419000,2348856799,judithnunez_,FALSE,FALSE,0,0,,,,,,,,,,,,,,2348856799,judithnunez_,en,,,,,https://api.twitter.com/1.1/geo/id/d838baf51d1c629d.json,Fontana,"Fontana, CA",city,United States,US,|,|,-117.5243291|-117.4010671|-117.4010671|-117.5243291|34.033432|34.033432|34.1828894|34.1828894,California
