status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,lng,lat,state
973021220659761153,2018-03-12T02:21:51Z,2151849542,Messer_8,"""I'd rather have pneumonia and in the hospital rather than go to school tomorrow"" -@little_leonard2",Twitter for iPhone,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,2151941317,little_leonard2,en,,,,,https://api.twitter.com/1.1/geo/id/5635c19c2b5078d1.json,Virginia,"Virginia, USA",admin,United States,US,|,|,-83.67529|-75.16644|-75.16644|-83.67529|36.540739|36.540739|39.466012|39.466012,-79.420865,38.0033755,Virginia
973005138855112704,2018-03-12T01:17:57Z,33203764,HeyBrittanyLynn,I’ve never felt so horrible in my entire life. Pneumonia is no joke. Let me die.,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/723ef51cd4102818.json,Sloan,"Sloan, NY",city,United States,US,|,|,-78.799641|-78.784221|-78.784221|-78.799641|42.88435|42.88435|42.900506|42.900506,-78.791931,42.892428,New York
972989245836152832,2018-03-12T00:14:48Z,3702710015,5ohPardue,“That’s why your shit smells like pneumonia” 😂😂😂😭😭😭😭,Twitter for iPhone,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/095534ad3107e0e6.json,Louisville,"Louisville, KY",city,United States,US,|,|,-85.847503|-85.597188|-85.597188|-85.847503|38.108678|38.108678|38.282432|38.282432,-85.7223455,38.195555,Kentucky
972975651715100672,2018-03-11T23:20:47Z,351413444,krissymaecagney,"Ok I have calmed down a little.

I do not have the flu. I have pneumonia. Please don’t fuck around if you went to the Arnold &amp; you have the following symptoms: cough/fever/chills/headache/tiredness. My is already poor, so I know I’m more susceptible to this shit. Just be safe.",Twitter for iPhone,,,,FALSE,FALSE,92,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/4b25aded08900fd8.json,Reno,"Reno, NV",city,United States,US,|,|,-119.953849|-119.700515|-119.700515|-119.953849|39.350749|39.350749|39.674123|39.674123,-119.827182,39.512436,Nevada
972971828074426369,2018-03-11T23:05:35Z,2912584561,robbywest_,"I might have pneumonia... i have a doctors appointment in two weeks. I’m really scared. I haven’t really been able to breathe right for the past few months. If i die, I’ll be kinda at peace with that.",Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/b7e851d8ebd82e0f.json,Highland,"Highland, CA",city,United States,US,|,|,-117.261028|-117.130442|-117.130442|-117.261028|34.096687|34.096687|34.143323|34.143323,-117.195735,34.120005,California
972967439737565185,2018-03-11T22:48:09Z,351413444,krissymaecagney,@becky_roozevelt Found out it’s pneumonia 😭😭😭,Twitter for iPhone,972965875992076288,414827118,becky_roozevelt,FALSE,FALSE,0,0,,,,,,,,,,,,,,414827118,becky_roozevelt,en,,,,,https://api.twitter.com/1.1/geo/id/4b25aded08900fd8.json,Reno,"Reno, NV",city,United States,US,|,|,-119.953849|-119.700515|-119.700515|-119.953849|39.350749|39.350749|39.674123|39.674123,-119.827182,39.512436,Nevada
972960331017400320,2018-03-11T22:19:54Z,925015874163167000,animetittyz,i really had pneumonia for 3 months n was walking around like shit was coo,Twitter for iPhone,,,,FALSE,FALSE,2,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/2ca1e1d1d0fae614.json,Dover,"Dover, DE",city,United States,US,|,|,-75.586247|-75.449548|-75.449548|-75.586247|39.108566|39.108566|39.20982|39.20982,-75.5178975,39.159193,Delaware
972955587297366017,2018-03-11T22:01:03Z,2774520989,sarah_lippy,ya girl has mycoplasma pneumonia 🤧,Twitter Web Client,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/56c9f474a934e9fe.json,Hoover,"Hoover, AL",city,United States,US,|,|,-86.912935|-86.607247|-86.607247|-86.912935|33.294784|33.294784|33.476326|33.476326,-86.760091,33.385555,Alabama
972936314000732160,2018-03-11T20:44:28Z,831590066,DutchessKidsDoc,@KidsDrDave @AmyGDalaMD That’s always my cutoff too. Walked myself straight from the end of office hours to the ER a couple years ago after 6 days of fever and had left upper lobe pneumonia. Fun times.,Twitter for iPhone,972919237676294144,52847258,KidsDrDave,FALSE,FALSE,0,0,,,,,,,,,,,,,,52847258|3415423175,KidsDrDave|AmyGDalaMD,en,,,,,https://api.twitter.com/1.1/geo/id/00ab6dcf3af61917.json,Pleasant Valley,"Pleasant Valley, NY",city,United States,US,|,|,-73.858728|-73.787311|-73.787311|-73.858728|41.721736|41.721736|41.795645|41.795645,-73.8230195,41.7586905,New York
972933460049498113,2018-03-11T20:33:07Z,827945408,ShannonSperl,When you have the flu and pneumonia and it’s midterms week 🤙🏼😅,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/8193d87541f11dfb.json,Cambridge,"Cambridge, MA",city,United States,US,|,|,-71.160356|-71.064398|-71.064398|-71.160356|42.352429|42.352429|42.4039663|42.4039663,-71.112377,42.37819765,Massachusetts
