status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,lng,lat,state
976242736776041000,2018-03-20T23:43:00Z,301638791,MMBnnNC,@RealJJade do you mean TamiFlu?,Tweetbot for Mac,976242532475593000,2245048928,RealJJade,FALSE,FALSE,0,0,,,,,,,,,,,,,,2245048928,RealJJade,en,,,,,https://api.twitter.com/1.1/geo/id/122cafc5c5677421.json,Seagate,"Seagate, NC",city,United States,US,|,|,-77.868466|-77.8232|-77.8232|-77.868466|34.18259|34.18259|34.220536|34.220536,-77.845833,34.201563,North Carolina
976194328057049000,2018-03-20T20:30:39Z,453231245,jennbrindisi,"@RayPace134 Thanks ....just got out of St. E’s, 😷 flu.  😞now on #tamiflu ~ pls God let this not ease up.",Twitter for iPhone,976141466270667000,3198482831,RayPace134,FALSE,FALSE,0,0,tamiflu,,,,,,,,,,,,,3198482831,RayPace134,en,,,,,https://api.twitter.com/1.1/geo/id/f33f520be81a525c.json,Boardman,"Boardman, OH",city,United States,US,|,|,-80.71159|-80.603596|-80.603596|-80.71159|40.970454|40.970454|41.061426|41.061426,-80.657593,41.01594,Ohio
975766786338624000,2018-03-19T16:11:45Z,307069463,trendsetterx_,Paid $100 for some tamiflu just for it to not work. Now what,Twitter for iPhone,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/7f061ded71fdc974.json,Montgomery,"Montgomery, AL",city,United States,US,|,|,-86.418059|-86.071398|-86.071398|-86.418059|32.2845933|32.2845933|32.443697|32.443697,-86.2447285,32.36414515,Alabama
975728160158384000,2018-03-19T13:38:16Z,1209159042,izziebooh,"jk send chicken noodle soup, tea, and tamiflu pls bc ya girl is dying 🤢🤧 https://t.co/fgWWMfrDYo",Twitter for iPhone,,,,TRUE,FALSE,4,0,,,twitter.com/izziebooh/stat…,https://t.co/fgWWMfrDYo,https://twitter.com/izziebooh/status/975507799114440704,,,,,,,,,,,en,975507799114441000,hi send me a pizza pls,,,https://api.twitter.com/1.1/geo/id/bc7f3267d2efaf40.json,Richardson,"Richardson, TX",city,United States,US,|,|,-96.769003|-96.612871|-96.612871|-96.769003|32.923164|32.923164|33.005805|33.005805,-96.690937,32.9644845,Texas
975429436144267000,2018-03-18T17:51:14Z,291713553,burch_attack,"@greenhillsbitch If you go to the doc and get Tamiflu within the first 48 hrs, it dramatically reduces the effects. But after that, it doesn't really help.",Twitter for Android,975334017175314000,232229456,greenhillsbitch,FALSE,FALSE,0,0,,,,,,,,,,,,,,232229456,greenhillsbitch,en,,,,,https://api.twitter.com/1.1/geo/id/c4fe37e3041e1b5b.json,Berry Hill,"Berry Hill, TN",city,United States,US,|,|,-86.778688|-86.757255|-86.757255|-86.778688|36.1116491|36.1116491|36.129195|36.129195,-86.7679715,36.12042205,Tennessee
974719328456139000,2018-03-16T18:49:31Z,28442415,Y_Soup,@utefan_42 At least she gave me tamiflu.,Twitter for iPhone,974718782940656000,135734825,utefan_42,FALSE,FALSE,1,0,,,,,,,,,,,,,,135734825,utefan_42,en,,,,,https://api.twitter.com/1.1/geo/id/39cfa5509250734f.json,West Valley City,"West Valley City, UT",city,United States,US,|,|,-112.074758|-111.920124|-111.920124|-112.074758|40.630579|40.630579|40.726828|40.726828,-111.997441,40.6787035,Utah
974700433825501000,2018-03-16T17:34:27Z,46378327,CEckertNews9,#TeamEckert should invest in tamiflu this year! #EckertAdventures #LoveMyTribe #SpringBreak2018 #YearOfThanks #YearOfGrace #NewStory #Page75of365 #4thGradeAdventures #GilliBean @SABryanEckert https://t.co/2WjH294cV3,Twitter for iPhone,,,,FALSE,FALSE,0,0,TeamEckert|EckertAdventures|LoveMyTribe|SpringBreak2018|YearOfThanks|YearOfGrace|NewStory|Page75of365|4thGradeAdventures|GilliBean,,,,,http://pbs.twimg.com/media/DYbU35lV4AAP_8N.jpg,https://t.co/2WjH294cV3,https://twitter.com/CEckertNews9/status/974700433825501184/photo/1,photo,http://pbs.twimg.com/media/DYbU35lV4AAP_8N.jpg,https://t.co/2WjH294cV3,https://twitter.com/CEckertNews9/status/974700433825501184/photo/1,,20257935,SABryanEckert,en,,,,,https://api.twitter.com/1.1/geo/id/f9b0cd2e1b5bb350.json,Timberwood Park,"Timberwood Park, TX",city,United States,US,|,|,-98.522946|-98.449841|-98.449841|-98.522946|29.6644958|29.6644958|29.71514|29.71514,-98.4863935,29.6898179,Texas
974305346096308000,2018-03-15T15:24:30Z,149345114,Jonathan_Levin,"@LucasTizma BRAT diet. Banana, rice, applesauce, toast. Are you sure you don’t have the flu? I’d hit urgent care and get tamiflu just in case.",Tweetbot for iΟS,974283341775057000,70977717,LucasTizma,FALSE,FALSE,1,0,,,,,,,,,,,,,,70977717,LucasTizma,en,,,,,https://api.twitter.com/1.1/geo/id/2ef9cb620c2bd681.json,Brisbane,"Brisbane, CA",city,United States,US,|,|,-122.4560521|-122.380944|-122.380944|-122.4560521|37.66469|37.66469|37.70837|37.70837,-122.41849805,37.68653,California
974115836578312000,2018-03-15T02:51:28Z,586362726,JonSpeek,Settling down to nice tablet of Tamiflu. https://t.co/dqOO08kFbX,Twitter for Android,,,,FALSE,FALSE,0,0,,,,,,http://pbs.twimg.com/tweet_video_thumb/DYTBL26VoAAmcU6.jpg,https://t.co/dqOO08kFbX,https://twitter.com/JonSpeek/status/974115836578312192/photo/1,photo,http://pbs.twimg.com/tweet_video_thumb/DYTBL26VoAAmcU6.jpg,https://t.co/dqOO08kFbX,https://twitter.com/JonSpeek/status/974115836578312192/photo/1,,,,en,,,,,https://api.twitter.com/1.1/geo/id/c02e66a5016d732f.json,Arvada,"Arvada, CO",city,United States,US,|,|,-105.214417|-105.0419599|-105.0419599|-105.214417|39.783802|39.783802|39.856611|39.856611,-105.12818845,39.8202065,Colorado
973929298301158000,2018-03-14T14:30:14Z,17793428,ananabanana,This screenshot is brought to you by the joint powers of telemedicine and Tamiflu. https://t.co/fDLu90xTqE,Twitter for iPhone,,,,FALSE,FALSE,12,0,,,,,,http://pbs.twimg.com/media/DYQXhppVoAEZT7V.jpg,https://t.co/fDLu90xTqE,https://twitter.com/ananabanana/status/973929298301157376/photo/1,photo,http://pbs.twimg.com/media/DYQXhppVoAEZT7V.jpg,https://t.co/fDLu90xTqE,https://twitter.com/ananabanana/status/973929298301157376/photo/1,,,,en,,,,,https://api.twitter.com/1.1/geo/id/3df4f427b5a60fea.json,San Antonio,"San Antonio, TX",city,United States,US,|,|,-98.778559|-98.302744|-98.302744|-98.778559|29.141956|29.141956|29.693046|29.693046,-98.5406515,29.417501,Texas
973721507368235000,2018-03-14T00:44:32Z,285763727,themostradab,Every time I go to student health it’s a fucking adventure. The nurse goes “well it’s not strep and your fever went down. You look like you could be a little flu-y. Here’s a prescription for tamiflu” as she’s just eyeing me up and down,Twitter for iPhone,,,,FALSE,FALSE,6,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/23aaa87ea90e76a4.json,Newark,"Newark, DE",city,United States,US,|,|,-75.7886691|-75.7235281|-75.7235281|-75.7886691|39.6431|39.6431|39.715087|39.715087,-75.7560986,39.6790935,Delaware
973544288280719000,2018-03-13T13:00:20Z,604090043,nannermack,"Dear makers of generic Tamiflu: I am already sick, exhausted and confused. Please don’t make… https://t.co/v1k8MbqvWn",Instagram,,,,FALSE,FALSE,0,0,,,instagram.com/p/BgQ6ip5AV5Y/,https://t.co/v1k8MbqvWn,https://www.instagram.com/p/BgQ6ip5AV5Y/,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/00f751614d8ce37b.json,Richmond,"Richmond, VA",city,United States,US,37.5345|-77.4325,-77.4325|37.5345,-77.601044|-77.385297|-77.385297|-77.601044|37.447046|37.447046|37.61272|37.61272,-77.4931705,37.529883,Virginia
973313153554530000,2018-03-12T21:41:53Z,21216071,MDCin303,Ok it is official... being really sick and having a decent grade fever is about the crummiest feeling EVER!!! It’s been so long since I’ve felt this way that I can confidently say another 6 or 7 years won’t be too soon! #tamiflu https://t.co/6PrMXL8s6g,Twitter for  iPhone,,,,FALSE,FALSE,4,0,tamiflu,,,,,http://pbs.twimg.com/tweet_video_thumb/DYHnJpWU0AAqD_h.jpg,https://t.co/6PrMXL8s6g,https://twitter.com/MDCin303/status/973313153554530304/photo/1,photo,http://pbs.twimg.com/tweet_video_thumb/DYHnJpWU0AAqD_h.jpg,https://t.co/6PrMXL8s6g,https://twitter.com/MDCin303/status/973313153554530304/photo/1,,,,en,,,,,https://api.twitter.com/1.1/geo/id/00f8c733400e497a.json,Broomfield,"Broomfield, CO",city,United States,US,|,|,-105.1472674|-104.997195|-104.997195|-105.1472674|39.894185|39.894185|40.000314|40.000314,-105.0722312,39.9472495,Colorado
973210674108293000,2018-03-12T14:54:40Z,342845923,_NicoleVilla,I FEEL SO HEALTHY THANK YOU TAMIFLU @ THE FLU KISS MY BUTT,Twitter for iPhone,,,,FALSE,FALSE,2,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/4eb16cb0a07b90b7.json,West Warwick,"West Warwick, RI",city,United States,US,|,|,-71.534441|-71.483383|-71.483383|-71.534441|41.661662|41.661662|41.7317748|41.7317748,-71.508912,41.6967184,Rhode Island
972898241023902000,2018-03-11T18:13:10Z,569320789,SWIFTSODOPE,i am an official carrier of the flu. got the meds cause i have shitty little lungs. next few days ill be in bed puking thx to tamiflu.,Twitter for iPhone,,,,FALSE,FALSE,4,0,,,,,,,,,,,,,,,,en,,,,,https://api.twitter.com/1.1/geo/id/3f871475c095f94f.json,Westminster,"Westminster, CO",city,United States,US,|,|,-105.148925|-104.987771|-104.987771|-105.148925|39.819133|39.819133|39.97944|39.97944,-105.068348,39.8992865,Colorado
